ds,y
2014-07-07,45.5
2014-07-08,43.72999954223633
2014-07-09,44.25400161743164
2014-07-10,43.43600082397461
2014-07-11,44.12200164794922
2014-07-14,43.99800109863281
2014-07-15,45.34600067138672
2014-07-16,44.36399841308594
2014-07-17,43.231998443603516
2014-07-18,43.189998626708984
2014-07-21,43.45000076293945
2014-07-22,44.4379997253418
2014-07-23,44.00199890136719
2014-07-24,44.650001525878906
2014-07-25,44.54399871826172
2014-07-28,44.849998474121094
2014-07-29,45.321998596191406
2014-07-30,44.38399887084961
2014-07-31,45.85200119018555
2014-08-01,45.21799850463867
2014-08-04,46.875999450683594
2014-08-05,47.49399948120117
2014-08-06,47.779998779296875
2014-08-07,50.02399826049805
2014-08-08,50.231998443603516
2014-08-11,51.09600067138672
2014-08-12,51.61600112915039
2014-08-13,52.402000427246094
2014-08-14,52.49800109863281
2014-08-15,52.29600143432617
2014-08-18,52.650001525878906
2014-08-19,51.77399826049805
2014-08-20,50.933998107910156
2014-08-21,51.30400085449219
2014-08-22,50.90800094604492
2014-08-25,51.63800048828125
2014-08-26,52.99599838256836
2014-08-27,52.70000076293945
2014-08-28,52.37799835205078
2014-08-29,53.7400016784668
2014-09-02,55.099998474121094
2014-09-03,57.534000396728516
2014-09-04,56.801998138427734
2014-09-05,56.5099983215332
2014-09-08,55.52399826049805
2014-09-09,56.597999572753906
2014-09-10,55.900001525878906
2014-09-11,56.09199905395508
2014-09-12,56.099998474121094
2014-09-15,54.874000549316406
2014-09-16,51.029998779296875
2014-09-17,52.481998443603516
2014-09-18,52.672000885009766
2014-09-19,51.597999572753906
2014-09-22,51.0
2014-09-23,49.04399871826172
2014-09-24,50.2239990234375
2014-09-25,50.50400161743164
2014-09-26,49.650001525878906
2014-09-29,48.79999923706055
2014-09-30,49.38399887084961
2014-10-01,48.439998626708984
2014-10-02,50.040000915527344
2014-10-03,50.61199951171875
2014-10-06,51.82600021362305
2014-10-07,51.70600128173828
2014-10-08,52.02000045776367
2014-10-09,52.45000076293945
2014-10-10,48.928001403808594
2014-10-13,47.7140007019043
2014-10-14,45.650001525878906
2014-10-15,44.0
2014-10-16,43.944000244140625
2014-10-17,46.67599868774414
2014-10-20,45.34400177001953
2014-10-21,46.854000091552734
2014-10-22,46.63800048828125
2014-10-23,46.93199920654297
2014-10-24,47.25400161743164
2014-10-27,46.849998474121094
2014-10-28,45.91999816894531
2014-10-29,48.22600173950195
2014-10-30,47.62799835205078
2014-10-31,48.50199890136719
2014-11-03,48.599998474121094
2014-11-04,48.097999572753906
2014-11-05,48.20000076293945
2014-11-06,46.89799880981445
2014-11-07,48.4379997253418
2014-11-10,47.821998596191406
2014-11-11,48.5099983215332
2014-11-12,49.944000244140625
2014-11-13,50.124000549316406
2014-11-14,50.0
2014-11-17,51.49800109863281
2014-11-18,51.172000885009766
2014-11-19,50.12200164794922
2014-11-20,49.59000015258789
2014-11-21,50.44200134277344
2014-11-24,49.040000915527344
2014-11-25,49.470001220703125
2014-11-26,49.667999267578125
2014-11-28,49.06999969482422
2014-12-01,48.231998443603516
2014-12-02,46.91400146484375
2014-12-03,45.25
2014-12-04,45.720001220703125
2014-12-05,45.73400115966797
2014-12-08,44.30799865722656
2014-12-09,41.86800003051758
2014-12-10,42.82600021362305
2014-12-11,42.10599899291992
2014-12-12,40.9640007019043
2014-12-15,41.858001708984375
2014-12-16,40.178001403808594
2014-12-17,38.61199951171875
2014-12-18,42.47600173950195
2014-12-19,44.03799819946289
2014-12-22,44.0
2014-12-23,44.762001037597656
2014-12-24,43.95399856567383
2014-12-26,44.301998138427734
2014-12-29,45.380001068115234
2014-12-30,44.79800033569336
2014-12-31,44.61800003051758
2015-01-02,44.57400131225586
2015-01-05,42.90999984741211
2015-01-06,42.012001037597656
2015-01-07,42.66999816894531
2015-01-08,42.5620002746582
2015-01-09,41.784000396728516
2015-01-12,40.61000061035156
2015-01-13,40.66400146484375
2015-01-14,37.16600036621094
2015-01-15,38.89799880981445
2015-01-16,38.13999938964844
2015-01-20,38.77399826049805
2015-01-21,37.90999984741211
2015-01-22,39.400001525878906
2015-01-23,40.05799865722656
2015-01-26,40.36600112915039
2015-01-27,40.88399887084961
2015-01-28,41.22200012207031
2015-01-29,40.2140007019043
2015-01-30,40.79199981689453
2015-02-02,40.79399871826172
2015-02-03,42.64400100708008
2015-02-04,43.65800094604492
2015-02-05,43.97600173950195
2015-02-06,44.400001525878906
2015-02-09,43.07600021362305
2015-02-10,43.5099983215332
2015-02-11,42.44200134277344
2015-02-12,38.7140007019043
2015-02-13,40.58000183105469
2015-02-17,41.13999938964844
2015-02-18,40.83399963378906
2015-02-19,41.0
2015-02-20,42.15599822998047
2015-02-23,43.13199996948242
2015-02-24,41.45800018310547
2015-02-25,40.987998962402344
2015-02-26,40.79999923706055
2015-02-27,41.380001068115234
2015-03-02,40.540000915527344
2015-03-03,39.36199951171875
2015-03-04,39.849998474121094
2015-03-05,40.56999969482422
2015-03-06,39.84199905395508
2015-03-09,38.87799835205078
2015-03-10,37.69200134277344
2015-03-11,38.22999954223633
2015-03-12,38.75
2015-03-13,37.790000915527344
2015-03-16,38.400001525878906
2015-03-17,39.08599853515625
2015-03-18,38.992000579833984
2015-03-19,40.400001525878906
2015-03-20,39.4900016784668
2015-03-23,39.70000076293945
2015-03-24,40.316001892089844
2015-03-25,39.65399932861328
2015-03-26,38.784000396728516
2015-03-27,37.81399917602539
2015-03-30,37.16999816894531
2015-03-31,38.70600128173828
2015-04-01,37.7400016784668
2015-04-02,38.04600143432617
